BASF	-2.27%	-1.79%	2.13%	-29.69%	-36.82%	-25.11%
Bayer	-0.69%	-10.02%	-8.68%	9.66%	7.45%	-19.17%
Beiersdorf AG	-0.61%	-2.60%	3.77%	12.61%	-4.57%	-6.19%
BMW ST	-0.61%	1.63%	4.16%	-12.40%	-7.01%	27.43%
Brenntag AG	0.40%	1.36%	13.94%	-12.26%	-18.43%	66.08%
Continental AG	-2.00%	-5.08%	-0.27%	-29.37%	-36.65%	-40.75%
Covestro	-2.61%	-3.08%	-0.40%	-40.74%	-42.58%	-18.52%
Daimler	0.81%	3.18%	12.98%	-9.74%	-3.66%	44.06%
Daimler Truck Holding	-0.91%	-0.77%	12.98%	-14.28%	-	-
Deutsche Bank AG	0.69%	3.06%	12.43%	-19.31%	-18.34%	41.22%
Deutsche Boerse	-1.07%	-1.75%	3.83%	16.15%	15.71%	33.69%
Deutsche Post	0.30%	1.70%	12.66%	-28.17%	-30.37%	42.38%
Deutsche Telekom AG	0.17%	1.45%	-2.18%	15.88%	2.63%	30.60%
E.ON SE	3.71%	5.57%	15.13%	-23.87%	-13.49%	10.63%
Fresenius Medical Care	0.42%	1.45%	-21.87%	-35.59%	-46.14%	-38.04%
Fresenius SE	-0.49%	1.32%	-12.94%	-30.65%	-46.32%	-41.91%
Hannover Rueckversicherung SE	0.85%	1.90%	7.31%	-11.79%	-4.13%	1.97%
Heidelbergcement	-0.16%	0.47%	7.89%	-14.08%	-32.89%	-14.62%
HelloFresh	2.97%	-2.28%	-11.12%	-56.83%	-64.20%	213.21%
Henkel VZO	-1.19%	-0.08%	4.52%	-9.99%	-26.45%	-30.33%
Infineon	0.67%	-4.50%	19.34%	-33.16%	-21.78%	69.65%
Linde PLC	0.06%	0.71%	8.82%	-2.15%	15.16%	73.58%
Merck	-0.44%	0.66%	6.51%	-17.63%	-2.41%	97.86%
MTU Aero	0.82%	1.91%	6.36%	6.80%	-6.85%	-18.68%
Muench. Rueckvers.	0.47%	5.45%	5.83%	-9.37%	-5.31%	8.40%
Porsche	-1.00%	-0.91%	8.48%	-14.17%	-21.50%	26.31%
Puma SE	0.22%	-1.78%	5.16%	-36.83%	-36.74%	3.21%
Qiagen	1.35%	-0.14%	4.58%	-0.63%	12.04%	50.71%
RWE AG ST	1.24%	6.58%	17.91%	20.42%	38.76%	69.42%
SAP	-0.36%	0.22%	6.99%	-25.50%	-26.10%	-12.50%
Sartorius AG VZO	2.81%	1.47%	13.40%	-26.80%	-19.34%	149.97%
Siemens AG	0.93%	0.85%	12.86%	-27.83%	-22.73%	37.93%
Siemens Healthineers	0.58%	1.96%	8.17%	-21.15%	-12.33%	44.27%
Symrise AG	0.64%	-1.12%	4.10%	-15.20%	-9.91%	35.15%
Volkswagen VZO	0.66%	2.29%	12.46%	-17.24%	-29.58%	4.21%
Vonovia	0.16%	3.24%	10.49%	-35.69%	-43.26%	-30.15%
Zalando SE	3.61%	3.81%	23.38%	-54.39%	-64.73%	-22.90%
